,mass A,,,,
t,x,y,θ,frame,
7.311,290.5,-247.3,-40.4,438
7.328,284.8,-254.3,-41.8,439
7.344,281.1,-258.3,-42.6,440
7.361,278.6,-261.2,-43.2,441
7.378,278.2,-261.4,-43.2,442
7.395,278.6,-260.9,-43.1,443
7.411,281.5,-257.9,-42.5,444
7.428,285.1,-253.5,-41.6,445
7.445,290.6,-246.8,-40.3,446
7.461,297.2,-239.1,-38.8,447
7.478,305.2,-228.3,-36.8,448
7.495,313.5,-216.8,-34.7,449
7.511,323.2,-202.0,-32.0,450
7.528,332.1,-185.7,-29.2,451
7.545,341.8,-167.9,-26.2,452
7.561,350.4,-148.1,-22.9,453
7.578,358.5,-126.5,-19.4,454
7.595,365.7,-103.5,-15.8,455
7.612,371.9,-79.14,-12.0,456
7.628,375.1,-53.27,-8.1,457
7.645,377.5,-24.98,-3.8,458
7.662,378.9,-0.138,-0.0,459
7.678,377.7,26.48,4.0,460
7.695,374.4,52.92,8.0,461
7.712,369.4,78.63,12.0,462
7.728,363.6,103.6,15.9,463
7.745,355.3,126.5,19.6,464
7.762,346.9,148.4,23.2,465
7.778,336.8,168.5,26.6,466
7.795,327.1,186.4,29.7,467
7.812,316.8,203.3,32.7,468
7.829,307.0,217.0,35.3,469
7.845,297.4,229.4,37.6,470
7.862,289.1,239.8,39.7,471
7.879,281.6,248.2,41.4,472
7.895,275.5,254.4,42.7,473
7.912,271.2,258.9,43.7,474
7.929,268.5,261.7,44.3,475
7.945,267.3,262.5,44.5,476
7.962,268.3,261.7,44.3,477
7.979,270.6,259.0,43.7,478
7.995,274.6,255.1,42.9,479
8.012,280.0,248.9,41.6,480
8.029,286.5,241.3,40.1,481
8.046,294.3,231.9,38.2,482
8.062,303.2,221.3,36.1,483
8.079,312.4,208.3,33.7,484
8.096,322.0,193.6,31.0,485
8.112,332.0,176.4,28.0,486
8.129,341.6,157.8,24.8,487
8.146,350.6,137.0,21.3,488
8.162,358.9,115.3,17.8,489
8.179,365.5,91.46,14.0,490
8.196,371.5,66.80,10.2,491
8.212,375.5,41.29,6.3,492
8.229,377.7,15.29,2.3,493
8.246,378.2,-11.24,-1.7,494
8.263,376.3,-36.73,-5.6,495
8.279,373.5,-63.18,-9.6,496
8.296,369.0,-87.29,-13.3,497
8.313,362.3,-111.1,-17.1,498
8.329,355.6,-132.8,-20.5,499
8.346,347.7,-153.5,-23.8,500
8.363,338.7,-172.2,-26.9,501
8.379,329.5,-188.5,-29.8,502
8.396,320.9,-203.6,-32.4,503
8.413,312.6,-217.6,-34.8,504
8.429,304.8,-228.5,-36.9,505
8.446,297.5,-237.6,-38.6,506
8.463,291.9,-244.8,-40.0,507
8.479,287.3,-250.3,-41.1,508
8.496,284.2,-253.2,-41.7,509
8.513,282.9,-255.2,-42.1,510
8.530,282.9,-255.0,-42.0,511
8.546,284.6,-253.2,-41.7,512
8.563,288.2,-249.2,-40.8,513
8.580,292.5,-244.1,-39.8,514
8.596,298.5,-236.7,-38.4,515
8.613,305.3,-227.3,-36.7,516
8.630,313.2,-215.5,-34.5,517
8.646,321.8,-202.9,-32.2,518
8.663,330.4,-188.2,-29.7,519
8.680,339.3,-171.5,-26.8,520
8.696,347.6,-152.9,-23.7,521
8.713,355.9,-132.5,-20.4,522
8.730,363.2,-111.0,-17.0,523
8.747,369.6,-87.70,-13.3,524
8.763,374.2,-63.07,-9.6,525
8.780,376.3,-35.11,-5.3,526
8.797,379.0,-12.07,-1.8,527
8.813,378.5,14.07,2.1,528
8.830,376.6,40.21,6.1,529
8.847,372.7,65.85,10.0,530
8.863,367.0,90.07,13.8,531
8.880,360.6,113.5,17.5,532
8.897,352.2,135.1,21.0,533
8.913,343.5,155.3,24.3,534
8.930,333.8,174.5,27.6,535
8.947,324.8,191.7,30.6,536
8.964,314.4,206.8,33.3,537
8.980,305.4,219.7,35.7,538
8.997,297.1,230.7,37.8,539
9.014,289.2,239.9,39.7,540
9.030,282.6,246.9,41.1,541
9.047,277.7,251.9,42.2,542
9.064,274.7,255.2,42.9,543
9.080,272.8,257.1,43.3,544
9.097,273.0,256.8,43.3,545
9.114,274.5,254.9,42.9,546
9.130,277.8,251.0,42.1,547
9.147,282.8,246.1,41.0,548
9.164,288.5,239.0,39.6,549
9.181,295.8,230.4,37.9,550
9.197,303.7,219.8,35.9,551
9.214,312.6,207.6,33.6,552
9.231,321.7,193.8,31.1,553
9.247,331.2,178.2,28.3,554
9.264,340.1,160.3,25.2,555
9.281,349.4,141.5,22.0,556
9.297,357.1,120.1,18.6,557
9.314,364.7,97.71,15.0,558
9.331,370.6,73.97,11.3,559
9.347,374.8,49.30,7.5,560
